exit_time_s,cumulative_evacuated
0.700,1
0.900,2
1.000,3
1.300,4
1.500,5
1.500,6
1.900,7
2.200,8
2.500,9
2.500,10
2.600,11
3.000,12
3.100,13
3.300,14
3.500,15
3.600,16
3.900,17
3.900,18
4.600,19
4.600,20
5.000,21
5.100,22
5.100,23
5.700,24
5.900,25
6.200,26
6.400,27
6.600,28
6.900,29
7.100,30
7.500,31
7.600,32
7.700,33
8.000,34
8.200,35
8.600,36
8.700,37
9.000,38
9.100,39
9.200,40
9.700,41
10.000,42
10.300,43
10.300,44
10.500,45
10.800,46
11.000,47
11.400,48
11.500,49
11.700,50
12.100,51
12.200,52
12.300,53
12.500,54
13.000,55
13.200,56
13.300,57
13.500,58
13.700,59
14.200,60
14.200,61
14.400,62
14.500,63
14.800,64
15.200,65
15.300,66
15.500,67
15.600,68
16.000,69
16.300,70
16.400,71
16.500,72
16.900,73
17.000,74
17.100,75
17.400,76
17.800,77
18.000,78
18.400,79
18.500,80
18.700,81
19.200,82
19.300,83
19.400,84
19.600,85
19.900,86
20.100,87
20.200,88
20.600,89
20.800,90
21.000,91
21.200,92
21.400,93
21.700,94
22.000,95
22.300,96
22.700,97
22.800,98
23.700,99
23.900,100
